,Y,,,,,,,,,,
X,0,1,2,3,4,5,6,7,8,9,10
,1,,,,,,,,,,
,2,,,,,Locked Pilots cabin.,,,,,
,3,,,,,"Flight attendant area, locked lockbox. Lockbox contents: Parachute, oxygen mask.",,,,,
,4,,,,,"Air marshal. Has gun, hunting knife, and lockbox key.",,,,,
,5,,,,,Mauled passengers.,,,,,
,6,,,,,"END - Exit row. Openable exit door. If opened, player will be sucked out.",,,,,
,7,,,,,Mauled passengers. ,,,,,
,8,,,,,Mauled passengers.,,,,,
,9,,,,,"START - Airplane restroom. Unlock latch, open door.",,,,,
,10,,,,,,,,,,
